# Source: Peter Ertl supplementary table from 10.1021/acs.jnatprod.8b01022
FG animals plants fungi bacteria synth.
[R]C(=O)C=CC=CC=CC=C 0.1 0 0.02 0.04 0
[R]N([R])C(C([R])=O)=C(C(O)=O)C([R])=O 0 0 0 0.16 0
[R]C(=O)C(=CC=[Car])C(O)=O 0.05 0 0.11 0 0
[R]C(=O)C=CC=CC=CC=CC=CC=CC=CC=CC=CC=
CC=CC=C 0.02 0 0.01 0.13 0
[R]N1C(O)OCC1=O 0 0.01 0.15 0 0
[R]N([R])COC([R])=O 0 0.03 0.01 0.1 0.01
[R]OC=CC(=O)C=C 0 0.05 0.1 0 0
[R]OCOO[R] 0.14 0.01 0 0 0
[R]OC(=O)C=CN([R])C=CC([R])=O 0 0 0 0 0.15
[R]N=C1N([R])CC(=O)N1[R] 0.15 0 0 0 0
[R]C(=O)C=CC=CC=CC=CC=CC=CC=CC=C=C 0.15 0 0 0 0
[R]OC=CC(=O)N([R])[R] 0.01 0.01 0 0.12 0.01
[R]C(=O)OCOCO 0.13 0.01 0 0 0
[R]N(C([R])=O)C(=C)C(O)=O 0 0 0.03 0.11 0
BrC=CC(Br)=C 0.12 0 0.01 0.01 0
[R]SC(=N[R])N([R])C([R])=O 0 0 0 0 0.14
[R]OC=[Car] 0 0.02 0.11 0.01 0
[R]C(=O)C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C 0.01 0.01 0 0.12 0
[R]N([R])C(=O)C(C([R])=O)=C(O)C=C 0 0 0.02 0.11 0
[R]N([R])C(=O)C(C([R])=O)=C(O)C=CC=C 0 0 0.03 0.1 0
[R]SC(=NC([R])=O)N([R])[R] 0 0 0 0 0.13
[R]OP([O-])(=O)O[R] 0.11 0 0.01 0.01 0
[R]SC=C(N([R])C([R])=O)C(O)=O 0 0 0 0.13 0
C=CC=CC1OC1C=C 0 0 0 0.13 0
[R]OC(=O)C=CC=CC=CC=C 0.01 0.01 0.01 0.1 0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C 0 0 0.02 0.1 0
[R]SC(=N[R])N([R])[R] 0 0 0 0 0.12
[R]N=N[R] 0 0 0.01 0 0.11
OC(=O)C=[Car] 0 0 0.12 0 0
BrC=CC#C 0.11 0 0.01 0 0
[R]OCOP(O)(=O)O[R] 0.01 0 0 0.11 0
[R]P(O)([R])=O 0 0 0 0.11 0
C=COC(=O)C=C 0 0.1 0 0.01 0
[R]SC(=N[R])C(=C)N([R])C([R])=O 0 0 0 0.11 0
[R][N+]([R])=[Car] 0.11 0 0 0 0
BrC=CC#CC=C 0.11 0 0 0 0
[R]N([Nar])C([R])=O 0 0 0 0 0.11
[R]OCN([R])N=C 0 0 0 0 0.11
[R]OCSC=NOS(O)(=O)=O 0 0.1 0 0 0
[R]C(=O)C=CC=C(O)C=C 0 0 0.1 0 0
OC(=O)C#C 0.1 0 0 0 0
[R]SC#N 0.1 0 0 0 0
[R]N(C([R])=O)S(O)(=O)=O 0 0 0 0.1 0
[R]N([R])C(=O)C(=C)N([R])C(=O)C(=C)N([R])C([R])=O 0 0 0 0.1 0
